T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
15.6,23,9,1016.4,87,1.3,2.4,11.1,284.79583333333335
17.4,24,9.3,1018.9,81,1.3,2.2,9.4,219.72083333333333
16.7,24.3,9.5,1018,82,1,4.1,13,182.1875
14.7,24.4,13.5,1012.2,96,1,10,22.2,154.03750000000002
15.4,20,10.2,1015.5,84,1.1,2.2,7.6,223.20833333333334
14.1,20.2,8.6,1015.8,82,1.1,5,13,200.64583333333337
12.1,19,4.3,1017.8,70,1.4,6.1,14.8,285.22499999999997
12.6,19.5,3.2,1019.2,78,1.3,5.2,11.1,236.82499999999996
16.4,24,8.6,1017.3,73,1.3,3.3,7.6,276.90833333333336
14,21,6.4,1023.1,76,1.6,10.2,16.5,108.0
14.7,20.8,7,1021.4,72,1,6.1,14.8,125.89166666666667
19.8,25.6,12.5,1018.2,74,1.1,7.8,24.1,181.01250000000005
16.2,25.1,14.5,1017.1,92,0.8,8,22.2,152.55416666666667
16.1,20,13.2,1019.1,80,1.8,11.9,18.3,152.32083333333335
17.3,23.2,9.8,1016,71,1.4,4.6,16.5,319.7375
16.2,23.4,9.4,1017.9,75,1.3,8,16.5,332.7083333333333
17,24,8.6,1019.2,66,1.6,2.8,7.6,279.59999999999997
17.9,25,9.5,1017.3,68,1.6,3.3,11.1,179.11666666666667
16.1,23.5,8.6,1015.9,62,2.9,10.2,18.3,54.791666666666664
16.8,24,9,1015.2,63,1.8,5.7,18.3,93.375
16.7,24.2,9.4,1016.4,66,1.8,10.6,27.8,103.0
18.2,25,8.9,1021.9,59,2.3,7.6,18.3,132.20833333333334
18.6,29,10.2,1021.3,59,1.8,10.2,18.3,127.70833333333333
19.7,27,9.8,1020.3,58,2.4,8.7,32.4,109.33333333333333
24.1,31,15.6,1011.1,57,3.1,7.2,14.8,56.458333333333336
24.8,32,16.4,1005,56,2.4,6.3,14.8,135.83333333333334
20.9,32.4,15.7,1008.2,74,1.9,12,24.1,122.5
21.4,28,13.5,1013.6,47,3.1,18.5,35.2,69.66666666666667
20.4,28.1,12.4,1012.5,55,2.6,16.1,29.4,79.83333333333333
21.2,29,11,1014.2,52,3.2,8,16.5,62.708333333333336
24.7,32.5,18,1012.1,49,2.6,5,11.1,21.208333333333332
22.8,30.5,16.5,1011.1,59,1.9,4.4,11.1,1.9166666666666667
21.3,28.5,12.5,1010.6,41,3.1,8.3,22.2,1.8333333333333333
23.4,30,12,1008.3,41,2.6,5.9,14.8,105.83333333333333
22.8,30.7,17.6,1008,54,2.9,12,22.2,117.58333333333333
20.7,28.2,14.6,1007.6,67,2.6,8.1,18.3,122.70833333333333
18.4,24,9,1015.3,49,3.2,9.1,20.6,111.95833333333333
19.6,26,9.1,1016.4,50,2.7,6.5,22.2,59.208333333333336
21.4,28,10.5,1013.7,50,2.4,8.5,22.2,77.20833333333333
23.6,30,15.6,1011.7,57,2.6,7.6,18.3,98.70833333333333
24.2,30,15.4,1012.2,53,2.7,11.3,24.1,123.70833333333333
26.6,34,16.2,1011.6,47,2.9,10.9,22.2,64.79166666666667
27.8,35,17.7,1010.4,41,3.4,12.8,27.8,52.333333333333336
29.1,35,20.8,1009.8,38,3.2,16.1,35.2,52.041666666666664
30.6,37,21.8,1009.5,41,3.1,13.1,27.8,128.33333333333334
31.2,38.5,23.3,1007.5,41,2.9,8.3,18.3,0.0
32.8,39,23.2,1004.7,36,3.2,11.1,22.2,23.208333333333332
31.7,39.4,23,1004.2,34,3.5,10.7,25.9,15.166666666666666
32.8,39,21.4,1004.9,30,3.7,10.7,22.2,21.25
28.8,38,19.2,1008,32,1.9,5.9,18.3,81.83333333333333
27.5,34.4,16.5,1010.8,28,2.7,10,20.6,105.33333333333333
27.3,33.6,19,1010.8,29,3.9,13.3,25.9,117.75
31.6,40,19.9,1006.3,27,2.9,5.6,11.1,84.5
32.4,40.5,20.7,1004.5,33,2.3,2.6,9.4,46.916666666666664
33,40.6,22,1002.1,29,3.2,8.5,24.1,104.625
34.9,43.2,28.9,999.7,45,2.7,9.1,21.7,0.0
33.5,40.2,28.5,1001.9,49,2.3,8.5,22.2,30.875
